O43681	9606.ENSP00000466379
P35498	9606.ENSP00000303540
O43613	9606.ENSP00000384387
Q6ZQY3	9606.ENSP00000282538
P49588	9606.ENSP00000261772
Q14500	9606.ENSP00000463778
P01112	9606.ENSP00000407586
Q96A70	9606.ENSP00000294517
P48552	9606.ENSP00000383063
P25024	9606.ENSP00000295683
Q15046	9606.ENSP00000325448
P08729	9606.ENSP00000329243
Q14894	9606.ENSP00000219599
P49146	9606.ENSP00000332591
Q71U36	9606.ENSP00000301071
P10109	9606.ENSP00000260270
Q9NS18	9606.ENSP00000356410
O14757	9606.ENSP00000388648
P19105	9606.ENSP00000217652
Q9H8P0	9606.ENSP00000264228
P26440	9606.ENSP00000418397
P23219	9606.ENSP00000354612
O00182	9606.ENSP00000378856
O43497	9606.ENSP00000352011
Q16134	9606.ENSP00000426638
Q05932	9606.ENSP00000362344
P19623	9606.ENSP00000366156
P23415	9606.ENSP00000411593
Q15080	9606.ENSP00000380334
Q92506	9606.ENSP00000363794
Q6UWP2	9606.ENSP00000482704
P06731	9606.ENSP00000221992
P78540	9606.ENSP00000261783
O43548	9606.ENSP00000220420
Q96BH3	9606.ENSP00000340660
P16233	9606.ENSP00000358223
Q9Y697	9606.ENSP00000363205
P40939	9606.ENSP00000370023
O94956	9606.ENSP00000289575
P30291	9606.ENSP00000402084
Q14181	9606.ENSP00000265465
P15382	9606.ENSP00000337255
Q9Y2J8	9606.ENSP00000364635
P49913	9606.ENSP00000296435
Q96GA7	9606.ENSP00000385790
Q9Y6L6	9606.ENSP00000256958
Q9H4Y5	9606.ENSP00000345023
P49336	9606.ENSP00000370938
P51151	9606.ENSP00000420127
P16455	9606.ENSP00000302111
Q16873	9606.ENSP00000292596
P19622	9606.ENSP00000297375
Q9Y600	9606.ENSP00000267085
O94766	9606.ENSP00000265471
P28070	9606.ENSP00000290541
Q9NZD2	9606.ENSP00000315263
P63000	9606.ENSP00000348461
Q6TGC4	9606.ENSP00000483125
P50747	9606.ENSP00000382071
Q9Y694	9606.ENSP00000361666
P07900	9606.ENSP00000335153
Q9UJT0	9606.ENSP00000357651
Q6UWN8	9606.ENSP00000324870
P10147	9606.ENSP00000477908
Q13946	9606.ENSP00000385632
Q03426	9606.ENSP00000443551
P29597	9606.ENSP00000431885
Q9UJS0	9606.ENSP00000400101
P51955	9606.ENSP00000355966
Q9UKU7	9606.ENSP00000281182
