CID100000085	A16AA01
CID100000119	L03AA03
CID100000119	N03AG03
CID100000137	L01XD04
CID100000143	V03AF03
CID100000143	V03AF04
CID100000143	V03AF06
CID100000158	G02AD02
CID100000159	B01AC09
CID100000160	G02AD01
CID100000175	G01AD02
CID100000175	S02AA10
CID100000187	S01EB09
CID100000191	C01EB10
CID100000191	J05AB03
CID100000191	S01AD06
CID100000206	A12AA07
CID100000206	A12BA01
CID100000206	A12CA01
CID100000206	B05CB01
CID100000206	B05CX01
CID100000206	B05XA01
CID100000206	B05XA03
CID100000206	B05XA07
CID100000206	G04BA03
CID100000206	V04CA02
CID100000206	V04CE01
CID100000206	V06DC01
CID100000214	C01EA01
CID100000214	G04BE01
CID100000232	B05XB01
CID100000247	A09AB02
CID100000247	A16AA06
CID100000271	A07XA03
CID100000271	A12AA20
CID100000298	D06AX02
CID100000298	D10AF03
CID100000298	G01AA05
CID100000298	J01BA01
CID100000298	S01AA01
CID100000298	S02AA01
CID100000298	S03AA08
CID100000303	A05AA03
CID100000311	A09AB04
CID100000312	A09AB03
CID100000312	B05XA13
CID100000338	D01AE12
CID100000338	N02BA04
CID100000338	N02BA12
CID100000338	S01BC08
CID100000401	J04AB01
CID100000444	N06AX12
CID100000450	G03CA03
CID100000450	L02AA02
CID100000453	A06AD16
CID100000453	A06AD18
CID100000453	A06AG07
CID100000453	B05BC01
CID100000453	B05CX02
CID100000453	B05CX04
CID100000453	V04CC01
CID100000564	B02AA01
CID100000581	R05CB01
CID100000581	S01XA08
CID100000581	V03AB23
CID100000596	L01BC01
CID100000598	R05CB05
CID100000598	V03AF01
CID100000612	G01AD01
CID100000679	G04BX13
CID100000679	M02AX03
CID100000681	C01CA04
CID100000698	G03CA07
CID100000698	G03CC04
CID100000727	P03AB02
CID100000738	A16AA03
CID100000750	B05CX03
CID100000753	A06AG04
CID100000753	A06AX01
CID100000772	B01AB05
CID100000774	L03AX14
CID100000774	V04CG03
CID100000785	D11AX11
CID100000815	A07AA08
CID100000815	J01GB04
CID100000815	S01AA24
CID100000838	A01AD01
CID100000838	B02BC09
CID100000838	C01CA24
CID100000838	R01AA14
CID100000838	R03AA01
CID100000838	S01EA01
CID100000853	C10AX01
CID100000853	H03AA01
CID100000861	H03AA02
CID100000888	A12CC30
CID100000896	N05CH01
CID100000937	C04AC01
CID100000937	C10AD02
CID100000942	N07BA01
CID100000948	N01AX13
CID100000951	C01CA03
CID100001046	J04AK01
CID100001054	A11HA02
CID100001065	C01BA01
CID100001065	P01BC01
CID100001071	A11CA01
CID100001071	D10AD02
CID100001071	R01AX02
CID100001071	S01XA02
CID100001084	V03AB06
CID100001125	A16AX07
CID100001130	A11DA01
