SideEffect,Disease,Pvalue
pseudomembranous colitis,Klebsiella Infections,2.47E-34
pseudomembranous colitis,Escherichia coli Infections,8.18E-33
pseudomembranous colitis,Urinary Tract Infections,1.08E-31
pseudomembranous colitis,Proteus Infections,7.14E-30
pseudomembranous colitis,Staphylococcal Infections,1.07E-27
pseudomembranous colitis,Haemophilus Infections,5.91E-26
pseudomembranous colitis,Streptococcal Infections,1.06E-25
pseudomembranous colitis,Soft Tissue Infections,2.98E-24
pseudomembranous colitis,"Pneumonia, Bacterial",1.42E-20
pseudomembranous colitis,"Skin Diseases, Bacterial",2.67E-20
vaginitis,Klebsiella Infections,3.83E-19
constitutional symptoms,Breast Neoplasms,5.14E-18
Parkinson,Psychotic Disorders,1.3E-16
Parkinson,Schizophrenia,1.3E-16
eosinophilia,Urinary Tract Infections,2.13E-16
vaginitis,Escherichia coli Infections,2.46E-16
tardive dyskinesia,Schizophrenia,2.59E-16
ataxia,Depressive Disorder,5.63E-16
constitutional symptoms,Ovarian Neoplasms,2.73E-15
postural hypotension,Hypertension,3.66E-15
vaginitis,Proteus Infections,6.52E-15
pseudomembranous colitis,Gonorrhea,9.47E-15
tardive dyskinesia,Psychotic Disorders,2.59E-14
interstitial nephritis,Osteoarthritis,2.72E-14
breast enlargement,Depressive Disorder,3.31E-14
SIADH,Depressive Disorder,3.31E-14
pemphigus,Diabetic Nephropathies,3.93E-14
pemphigus,"Ventricular Dysfunction, Left",3.93E-14
galactorrhea,Depressive Disorder,4.06E-14
hyperkalemia,Diabetic Nephropathies,5.06E-14
hyperkalemia,"Ventricular Dysfunction, Left",5.06E-14
hypertension,Hypertension,2.21E-13
hallucinations,Depressive Disorder,2.55E-13
vaginitis,Streptococcal Infections,3.37E-13
vaginitis,Soft Tissue Infections,7.5E-13
vaginitis,Haemophilus Infections,1.26E-12
testicular swelling,Depressive Disorder,1.42E-12
peptic ulcer,Osteoarthritis,1.59E-12
hyperuricemia,Nephrotic Syndrome,2.4E-12
toxic epidermal necrolysis,Proteus Infections,2.84E-12
thrombocythemia,Klebsiella Infections,4.27E-12
moniliasis,Klebsiella Infections,4.74E-12
vaginitis,Staphylococcal Infections,5.14E-12
pseudomembranous colitis,Pseudomonas Infections,6.79E-12
impotence,Hypertension,7.21E-12
vaginitis,"Skin Diseases, Bacterial",7.86E-12
impotence,Depressive Disorder,9.2E-12
nephropathy,Klebsiella Infections,1.03E-11
miliaria,Facial Dermatoses,1.03E-11
miliaria,Foot Dermatoses,1.03E-11
miliaria,Hand Dermatoses,1.03E-11
miliaria,Leg Dermatoses,1.03E-11
miliaria,Scalp Dermatoses,1.03E-11
vaginitis,Urinary Tract Infections,1.33E-11
nightmares,Depressive Disorder,1.55E-11
pseudomembranous colitis,"Bone Diseases, Infectious",1.76E-11
urinary retention,Depressive Disorder,2.49E-11
nephropathy,Proteus Infections,2.7E-11
priapism,Schizophrenia,2.92E-11
ischemic colitis,Angina Pectoris,3.2E-11
ischemic colitis,Myocardial Infarction,3.2E-11
