"phenotype"	"phenotypeLabel"
"http://purl.obolibrary.org/obo/HP_0001338"	"Partial agenesis of the corpus callosum"
"http://purl.obolibrary.org/obo/HP_0001598"	"Concave nail"
"http://purl.obolibrary.org/obo/HP_0003254"	"Abnormality of DNA repair"
"http://purl.obolibrary.org/obo/HP_0003777"	"Pili torti"
"http://purl.obolibrary.org/obo/HP_0005328"	"Progeroid facial appearance"
"http://purl.obolibrary.org/obo/HP_0005684"	"Distal arthrogryposis"
"http://purl.obolibrary.org/obo/HP_0006739"	"Squamous cell carcinoma of the skin"
"http://purl.obolibrary.org/obo/HP_0006801"	"Hyperactive deep tendon reflexes"
"http://purl.obolibrary.org/obo/HP_0007204"	"Diffuse white matter abnormalities"
"http://purl.obolibrary.org/obo/HP_0012143"	"Abnormal megakaryocyte morphology"
"http://purl.obolibrary.org/obo/HP_0025439"	"Pharyngitis"
"http://purl.obolibrary.org/obo/HP_0100267"	"Lip pit"
"http://purl.obolibrary.org/obo/HP_0100275"	"Diffuse cerebellar atrophy"
"http://purl.obolibrary.org/obo/HP_0100569"	"Abnormally ossified vertebrae"
"http://purl.obolibrary.org/obo/HP_0200041"	"Skin erosion"
"http://purl.obolibrary.org/obo/HP_0002265"	"Large fleshy ears"
"http://purl.obolibrary.org/obo/HP_0005338"	"Sparse lateral eyebrow"
"http://purl.obolibrary.org/obo/HP_0010871"	"Sensory ataxia"
"http://purl.obolibrary.org/obo/HP_0012469"	"Infantile spasms"
"http://purl.obolibrary.org/obo/HP_0031378"	"Abnormal lymphocyte proliferation"
"http://purl.obolibrary.org/obo/HP_0031593"	"Abnormal PR interval"
"http://purl.obolibrary.org/obo/HP_0000074"	"Ureteropelvic junction obstruction"
"http://purl.obolibrary.org/obo/HP_0000895"	"Lateral clavicle hook"
"http://purl.obolibrary.org/obo/HP_0001795"	"Hyperconvex nail"
"http://purl.obolibrary.org/obo/HP_0001976"	"Reduced antithrombin III activity"
"http://purl.obolibrary.org/obo/HP_0011974"	"Myelofibrosis"
"http://purl.obolibrary.org/obo/HP_0025428"	"Bronchospasm"
"http://purl.obolibrary.org/obo/HP_0011229"	"Broad eyebrow"
"http://purl.obolibrary.org/obo/HP_0011267"	"Microtia, third degree"
"http://purl.obolibrary.org/obo/HP_0031457"	"Pulmonary opacity"
"http://purl.obolibrary.org/obo/HP_0011185"	"EEG with focal epileptiform discharges"
"http://purl.obolibrary.org/obo/HP_0000475"	"Broad neck"
"http://purl.obolibrary.org/obo/HP_0000633"	"Decreased lacrimation"
"http://purl.obolibrary.org/obo/HP_0000919"	"Abnormality of the costochondral junction"
"http://purl.obolibrary.org/obo/HP_0000968"	"Ectodermal dysplasia"
"http://purl.obolibrary.org/obo/HP_0002286"	"Fair hair"
"http://purl.obolibrary.org/obo/HP_0004320"	"Vaginal fistula"
"http://purl.obolibrary.org/obo/HP_0011065"	"Conical incisor"
"http://purl.obolibrary.org/obo/HP_0100590"	"Rectal fistula"
"http://purl.obolibrary.org/obo/HP_0100608"	"Metrorrhagia"
"http://purl.obolibrary.org/obo/HP_0001334"	"Communicating hydrocephalus"
"http://purl.obolibrary.org/obo/HP_0007502"	"Follicular hyperkeratosis"
"http://purl.obolibrary.org/obo/HP_0011098"	"Speech apraxia"
"http://purl.obolibrary.org/obo/HP_0100712"	"Abnormal lumbar spine morphology"
"http://purl.obolibrary.org/obo/HP_0003561"	"Birth length less than 3rd percentile"
"http://purl.obolibrary.org/obo/HP_0004283"	"Narrow palm"
"http://purl.obolibrary.org/obo/HP_0005913"	"Abnormality of metacarpal epiphyses"
"http://purl.obolibrary.org/obo/HP_0007000"	"Morning myoclonic jerks"
"http://purl.obolibrary.org/obo/HP_0010066"	"Duplication of phalanx of hallux"
"http://purl.obolibrary.org/obo/HP_0100700"	"Abnormal arachnoid mater morphology"
"http://purl.obolibrary.org/obo/HP_0005871"	"Metaphyseal chondrodysplasia"
"http://purl.obolibrary.org/obo/HP_0008969"	"Leg muscle stiffness"
"http://purl.obolibrary.org/obo/HP_0003811"	"Neonatal death"
"http://purl.obolibrary.org/obo/HP_0006109"	"Absent phalangeal crease"
"http://purl.obolibrary.org/obo/HP_0007385"	"Aplasia cutis congenita of scalp"
