Q9UI32	9606.ENSP00000310447
P00488	9606.ENSP00000264870
P35228	9606.ENSP00000327251
P06737	9606.ENSP00000216392
P11766	9606.ENSP00000296412
P50213	9606.ENSP00000299518
P30542	9606.ENSP00000356205
P00519	9606.ENSP00000361423
P12319	9606.ENSP00000357097
P00451	9606.ENSP00000353393
P23219	9606.ENSP00000354612
P35626	9606.ENSP00000317578
P21728	9606.ENSP00000377353
P35916	9606.ENSP00000261937
P51168	9606.ENSP00000345751
P02452	9606.ENSP00000225964
Q9H4B7	9606.ENSP00000217133
P56181	9606.ENSP00000346196
P17948	9606.ENSP00000282397
Q9UPY5	9606.ENSP00000280612
P06213	9606.ENSP00000303830
P04049	9606.ENSP00000251849
Q9Y285	9606.ENSP00000320309
Q9Y234	9606.ENSP00000377115
P12259	9606.ENSP00000356771
P24530	9606.ENSP00000366416
P20309	9606.ENSP00000255380
P30613	9606.ENSP00000339933
P00734	9606.ENSP00000308541
P30273	9606.ENSP00000289902
P13716	9606.ENSP00000386284
P48167	9606.ENSP00000264428
P21554	9606.ENSP00000358513
P30556	9606.ENSP00000419422
P34995	9606.ENSP00000292513
P10515	9606.ENSP00000280346
P11836	9606.ENSP00000314620
P29475	9606.ENSP00000477999
P07195	9606.ENSP00000379386
Q07869	9606.ENSP00000385523
P51843	9606.ENSP00000368253
P10912	9606.ENSP00000483403
P00492	9606.ENSP00000298556
P28702	9606.ENSP00000363817
P12277	9606.ENSP00000299198
Q13639	9606.ENSP00000353915
P02792	9606.ENSP00000366525
P14618	9606.ENSP00000320171
Q12809	9606.ENSP00000262186
P11229	9606.ENSP00000306490
O75380	9606.ENSP00000274137
P34972	9606.ENSP00000363596
Q15800	9606.ENSP00000261507
P11177	9606.ENSP00000307241
P17707	9606.ENSP00000357880
O76082	9606.ENSP00000245407
P13688	9606.ENSP00000161559
P51606	9606.ENSP00000377303
Q9H244	9606.ENSP00000307259
P21673	9606.ENSP00000368572
P25021	9606.ENSP00000366506
P06746	9606.ENSP00000265421
P09622	9606.ENSP00000205402
P07741	9606.ENSP00000367615
Q05940	9606.ENSP00000298472
O95477	9606.ENSP00000363868
P17752	9606.ENSP00000250018
P03372	9606.ENSP00000405330
P08700	9606.ENSP00000296870
Q04828	9606.ENSP00000370254
P31937	9606.ENSP00000265395
P24046	9606.ENSP00000412673
P69905	9606.ENSP00000322421
P10275	9606.ENSP00000363822
P05091	9606.ENSP00000261733
P22888	9606.ENSP00000294954
P49419	9606.ENSP00000387123
P19404	9606.ENSP00000327268
P09172	9606.ENSP00000376776
Q9Y4W6	9606.ENSP00000269143
Q9UHW9	9606.ENSP00000346112
P07437	9606.ENSP00000339001
P13631	9606.ENSP00000388510
P21918	9606.ENSP00000306129
Q9H3N8	9606.ENSP00000256906
P36888	9606.ENSP00000241453
P23368	9606.ENSP00000321070
P51649	9606.ENSP00000314649
O00180	9606.ENSP00000355580
Q9NYK1	9606.ENSP00000370034
Q99720	9606.ENSP00000277010
P00387	9606.ENSP00000354468
O43175	9606.ENSP00000358417
Q02218	9606.ENSP00000222673
P15692	9606.ENSP00000478570
P37288	9606.ENSP00000299178
P49916	9606.ENSP00000367787
P12532	9606.ENSP00000406577
P08588	9606.ENSP00000358301
Q9Y5Y9	9606.ENSP00000390600
P36021	9606.ENSP00000465734
P00367	9606.ENSP00000277865
O76074	9606.ENSP00000347046
P48637	9606.ENSP00000216951
P07814	9606.ENSP00000355890
Q8WTV0	9606.ENSP00000261693
P37088	9606.ENSP00000353292
P14061	9606.ENSP00000466799
Q14524	9606.ENSP00000410257
Q15046	9606.ENSP00000325448
P18858	9606.ENSP00000263274
Q13564	9606.ENSP00000351990
P30968	9606.ENSP00000226413
P09619	9606.ENSP00000261799
P10826	9606.ENSP00000332296
Q09428	9606.ENSP00000303960
P21695	9606.ENSP00000301149
P00747	9606.ENSP00000308938
P56556	9606.ENSP00000418842
P37231	9606.ENSP00000287820
P00742	9606.ENSP00000364709
Q9UBS5	9606.ENSP00000366233
P08243	9606.ENSP00000175506
P16083	9606.ENSP00000369822
P12821	9606.ENSP00000290866
P26640	9606.ENSP00000364815
O15239	9606.ENSP00000360492
P07327	9606.ENSP00000209668
P23381	9606.ENSP00000347495
P54710	9606.ENSP00000292079
P55157	9606.ENSP00000427679
P26639	9606.ENSP00000387710
Q15758	9606.ENSP00000444408
P06858	9606.ENSP00000309757
P05121	9606.ENSP00000223095
P29275	9606.ENSP00000304501
P10109	9606.ENSP00000260270
O96000	9606.ENSP00000268668
P10415	9606.ENSP00000381185
P08912	9606.ENSP00000372750
P09917	9606.ENSP00000363512
P30531	9606.ENSP00000287766
P00491	9606.ENSP00000354532
P14679	9606.ENSP00000263321
P80404	9606.ENSP00000379845
Q9Y478	9606.ENSP00000229328
P10745	9606.ENSP00000463151
O76054	9606.ENSP00000478755
P15291	9606.ENSP00000369055
P49902	9606.ENSP00000339479
P35354	9606.ENSP00000356438
P29474	9606.ENSP00000297494
Q04771	9606.ENSP00000263640
P08473	9606.ENSP00000418525
Q08828	9606.ENSP00000297323
P00797	9606.ENSP00000272190
Q16773	9606.ENSP00000399415
P07766	9606.ENSP00000354566
Q96GD0	9606.ENSP00000215904
P01008	9606.ENSP00000356671
P55011	9606.ENSP00000262461
O43676	9606.ENSP00000237889
Q99624	9606.ENSP00000481301
P05089	9606.ENSP00000349446
P08913	9606.ENSP00000280155
P08908	9606.ENSP00000316244
P30518	9606.ENSP00000351805
P49588	9606.ENSP00000261772
Q13258	9606.ENSP00000303424
Q00796	9606.ENSP00000267814
P09455	9606.ENSP00000232219
P31153	9606.ENSP00000303147
P00480	9606.ENSP00000039007
O75251	9606.ENSP00000233627
O14727	9606.ENSP00000448165
P46098	9606.ENSP00000347754
P10828	9606.ENSP00000379904
P21549	9606.ENSP00000302620
Q99714	9606.ENSP00000168216
P47872	9606.ENSP00000019103
Q9NRX3	9606.ENSP00000377411
Q8IVH4	9606.ENSP00000281317
P49915	9606.ENSP00000419851
P00918	9606.ENSP00000285379
P04818	9606.ENSP00000315644
P23921	9606.ENSP00000300738
P08620	9606.ENSP00000168712
P49286	9606.ENSP00000257068
P00374	9606.ENSP00000396308
P34896	9606.ENSP00000318868
P08709	9606.ENSP00000364731
O75438	9606.ENSP00000330787
P25098	9606.ENSP00000312262
P18825	9606.ENSP00000386069
P05093	9606.ENSP00000358903
P16471	9606.ENSP00000482954
P39086	9606.ENSP00000382791
P50440	9606.ENSP00000379895
Q9NR19	9606.ENSP00000253382
P19801	9606.ENSP00000411613
P78348	9606.ENSP00000228468
Q96I99	9606.ENSP00000419325
O00555	9606.ENSP00000353362
P63098	9606.ENSP00000234310
