Motif_Identifier	GO_Term_Identifier	GOMo_Score	p-value	q-value
crp	GO:0044248	1.341e-06	5.615e-07	4.550e-04
crp	GO:0009056	8.869e-07	5.615e-07	4.550e-04
crp	GO:0008643	1.075e-04	3.369e-06	1.820e-03
crp	GO:0051119	2.285e-04	1.516e-05	6.067e-03
crp	GO:0044275	2.652e-04	2.246e-05	6.067e-03
crp	GO:0015144	2.665e-04	2.246e-05	6.067e-03
crp	GO:0016861	3.954e-04	3.706e-05	8.580e-03
crp	GO:0016860	4.737e-04	4.660e-05	9.442e-03
crp	GO:0016052	5.421e-04	5.671e-05	1.021e-02
crp	GO:0009057	5.850e-04	6.345e-05	1.028e-02
crp	GO:0016853	7.322e-04	8.198e-05	1.208e-02
crp	GO:0044265	8.893e-04	1.072e-04	1.448e-02
crp	GO:0019321	1.272e-03	1.859e-04	2.317e-02
nagC	GO:0051704	1.801e-04	2.077e-05	3.268e-02
nagC	GO:0042710	4.020e-04	4.997e-05	3.432e-02
nagC	GO:0009252	8.308e-04	1.527e-04	3.432e-02
nagC	GO:0007047	8.308e-04	1.527e-04	3.432e-02
nagC	GO:0031504	8.308e-04	1.527e-04	3.432e-02
nagC	GO:0009273	8.308e-04	1.527e-04	3.432e-02
nagC	GO:0042546	8.308e-04	1.527e-04	3.432e-02
nagC	GO:0016798	1.101e-03	2.038e-04	3.562e-02
nagC	GO:0004553	1.101e-03	2.038e-04	3.562e-02
narP	GO:0009061	3.737e-04	3.930e-05	3.594e-02
narP	GO:0045333	5.182e-04	6.457e-05	3.594e-02
narP	GO:0030151	6.633e-04	9.096e-05	3.594e-02
narP	GO:0015980	9.717e-04	1.381e-04	3.594e-02
narP	GO:0006091	9.717e-04	1.381e-04	3.594e-02
narP	GO:0017004	1.063e-03	1.544e-04	3.594e-02
narP	GO:0043623	1.063e-03	1.544e-04	3.594e-02
narP	GO:0042592	1.382e-03	2.072e-04	3.594e-02
narP	GO:0048878	1.382e-03	2.072e-04	3.594e-02
narP	GO:0019725	1.382e-03	2.072e-04	3.594e-02
narP	GO:0009055	1.539e-03	2.465e-04	3.887e-02
narP	GO:0065007	1.695e-03	2.819e-04	4.075e-02
narP	GO:0065008	1.839e-03	3.099e-04	4.136e-02
narP	GO:0043169	2.049e-03	3.638e-04	4.508e-02

# GOMo (Gene Ontology for Motifs): Version 5.1.0 compiled on Oct  9 2019 at 16:32:02
# The format of this file is described at http://meme-suite.org/doc/gomo-output-format.html.
# gomo --oc gomo_example_output_files --dag go.dag --motifs dpinteract_subset.meme bacteria_escherichia_coli_k12_1000_199.na.csv ama.xml
